time,event_type,pair,side,price,size,is_snapshot,trade_id
2025-08-03 14:01:12.493412+00,book,btc_jpy,ask,16857262.000000,0.030000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,ask,16860231.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16822136.000000,0.002370,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16844543.000000,0.020000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16850336.000000,0.020000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16850872.000000,0.010000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16852171.000000,0.030000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16822116.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16844582.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16850850.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16851591.000000,0.000000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,bid,16844543.000000,0.000000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,bid,16850336.000000,0.000000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,bid,16853969.000000,0.000000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,ask,16860668.000000,0.020000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,ask,16859669.000000,0.000000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,bid,16844751.000000,0.020000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,bid,16853721.000000,0.039945,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,ask,16857262.000000,0.000000,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,bid,16841197.000000,0.050000,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,bid,16851334.000000,0.020000,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,bid,16852427.000000,0.030000,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,bid,16852171.000000,0.000000,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,bid,16840935.000000,0.000000,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,ask,16933713.000000,0.002370,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,ask,16933712.000000,0.002370,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,ask,16869094.000000,0.065497,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,ask,16857547.000000,0.030000,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,ask,16933733.000000,0.000000,true,
2025-08-03 14:01:13.214745+00,book,btc_jpy,ask,16933732.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16850785.000000,0.015000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16933716.000000,0.002370,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16933703.000000,0.002370,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16863611.000000,0.015000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16862715.000000,0.015000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16860038.000000,0.020000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16857262.000000,0.030000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16933736.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16933723.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16864312.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16862579.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16860668.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,ask,16857547.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16822146.000000,0.002370,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16822147.000000,0.002370,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16842822.000000,0.010000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16850433.000000,0.015000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16850704.000000,0.020000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16822126.000000,0.000000,true,
